numPontos,tempoMs
1,0.0000
2,1.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,1.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,1.0000
20,1.0000
21,1.0000
22,1.0000
23,0.0000
24,1.0000
25,0.0000
26,1.0000
27,0.0000
28,0.0000
29,1.0000
30,0.0000
31,1.0000
32,1.0000
33,1.0000
34,0.0000
35,1.0000
36,1.0000
37,0.0000
38,0.0000
39,1.0000
40,1.0000
41,1.0000
42,1.0000
43,2.0000
44,2.0000
45,2.0000
46,1.0000
47,1.0000
48,2.0000
49,2.0000
50,3.0000
51,1.0000
52,2.0000
53,2.0000
54,2.0000
55,3.0000
56,2.0000
57,2.0000
58,3.0000
59,3.0000
60,3.0000
61,2.0000
62,3.0000
63,3.0000
64,3.0000
65,3.0000
66,3.0000
67,3.0000
68,4.0000
69,4.0000
70,4.0000
71,4.0000
72,3.0000
73,4.0000
74,6.0000
75,5.0000
76,5.0000
77,5.0000
78,5.0000
79,5.0000
80,5.0000
81,5.0000
82,5.0000
83,6.0000
84,6.0000
85,5.0000
86,7.0000
87,7.0000
88,6.0000
89,7.0000
90,7.0000
91,6.0000
92,8.0000
93,7.0000
94,7.0000
95,6.0000
96,7.0000
97,8.0000
98,6.0000
99,7.0000
100,7.0000
101,8.0000
102,8.0000
103,9.0000
104,9.0000
105,9.0000
106,9.0000
107,9.0000
108,9.0000
109,10.0000
110,9.0000
111,9.0000
112,9.0000
113,10.0000
114,11.0000
115,10.0000
116,10.0000
117,11.0000
118,10.0000
119,10.0000
120,11.0000
121,11.0000
122,11.0000
123,13.0000
124,12.0000
125,12.0000
126,12.0000
127,12.0000
128,11.0000
129,12.0000
130,12.0000
131,14.0000
132,13.0000
133,14.0000
134,14.0000
135,15.0000
136,13.0000
137,15.0000
138,14.0000
139,15.0000
140,16.0000
141,15.0000
142,15.0000
143,16.0000
144,15.0000
145,15.0000
146,16.0000
147,16.0000
148,15.0000
149,16.0000
150,18.0000
