numPontos,tempoMs
1,18.0000
2,18.0000
3,18.0000
4,19.0000
5,19.0000
6,19.0000
7,19.0000
8,20.0000
9,19.0000
10,19.0000
11,20.0000
12,21.0000
13,19.0000
14,22.0000
15,22.0000
16,23.0000
17,21.0000
18,21.0000
19,22.0000
20,24.0000
21,22.0000
22,21.0000
23,23.0000
24,23.0000
25,22.0000
26,22.0000
27,24.0000
28,23.0000
29,24.0000
30,24.0000
31,26.0000
32,24.0000
33,25.0000
34,27.0000
35,25.0000
36,24.0000
37,26.0000
38,26.0000
39,27.0000
40,27.0000
41,26.0000
42,27.0000
43,26.0000
44,29.0000
45,28.0000
46,27.0000
47,27.0000
48,26.0000
49,28.0000
50,26.0000
51,25.0000
52,28.0000
53,31.0000
54,28.0000
55,30.0000
56,31.0000
57,31.0000
58,31.0000
59,28.0000
60,32.0000
61,32.0000
62,31.0000
63,32.0000
64,32.0000
65,33.0000
66,33.0000
67,33.0000
68,31.0000
69,34.0000
70,34.0000
71,35.0000
72,34.0000
73,36.0000
74,34.0000
75,36.0000
76,35.0000
77,36.0000
78,36.0000
79,36.0000
80,36.0000
81,37.0000
82,37.0000
83,38.0000
84,38.0000
85,37.0000
86,36.0000
87,37.0000
88,40.0000
89,37.0000
90,40.0000
91,39.0000
92,39.0000
93,41.0000
94,42.0000
95,42.0000
96,37.0000
97,42.0000
98,41.0000
99,39.0000
100,41.0000
101,38.0000
102,42.0000
103,43.0000
104,45.0000
105,41.0000
106,44.0000
107,44.0000
108,43.0000
109,43.0000
110,41.0000
111,44.0000
112,46.0000
113,44.0000
114,45.0000
115,45.0000
116,44.0000
117,45.0000
118,44.0000
119,46.0000
120,40.0000
121,47.0000
122,46.0000
123,46.0000
124,44.0000
125,47.0000
126,46.0000
127,46.0000
128,44.0000
129,47.0000
130,46.0000
131,47.0000
132,47.0000
133,47.0000
134,47.0000
135,48.0000
136,48.0000
137,45.0000
138,45.0000
139,49.0000
140,54.0000
141,49.0000
142,52.0000
143,50.0000
144,51.0000
145,47.0000
146,51.0000
147,51.0000
148,47.0000
149,50.0000
150,51.0000
151,52.0000
152,53.0000
153,52.0000
154,52.0000
155,54.0000
156,52.0000
157,53.0000
158,55.0000
159,55.0000
160,54.0000
161,56.0000
162,54.0000
163,57.0000
164,55.0000
165,57.0000
166,53.0000
167,56.0000
168,51.0000
169,58.0000
170,58.0000
171,58.0000
172,58.0000
173,57.0000
174,55.0000
175,55.0000
176,68.0000
177,55.0000
178,60.0000
179,55.0000
180,57.0000
181,56.0000
182,55.0000
183,55.0000
184,57.0000
185,57.0000
186,58.0000
187,58.0000
188,60.0000
189,59.0000
190,57.0000
191,57.0000
192,54.0000
193,54.0000
194,57.0000
195,59.0000
196,57.0000
197,59.0000
198,60.0000
199,59.0000
200,59.0000
201,57.0000
202,59.0000
203,60.0000
204,57.0000
205,60.0000
206,57.0000
207,56.0000
208,61.0000
209,58.0000
210,62.0000
211,62.0000
212,62.0000
213,62.0000
214,62.0000
215,59.0000
216,62.0000
217,64.0000
218,58.0000
219,63.0000
220,63.0000
221,63.0000
222,63.0000
223,64.0000
224,64.0000
225,62.0000
226,69.0000
227,65.0000
228,65.0000
229,66.0000
230,66.0000
231,61.0000
232,68.0000
233,65.0000
234,78.0000
235,66.0000
236,63.0000
237,68.0000
238,79.0000
239,67.0000
240,71.0000
241,70.0000
242,67.0000
243,69.0000
244,64.0000
245,68.0000
246,69.0000
247,69.0000
248,65.0000
249,65.0000
250,71.0000
251,70.0000
252,70.0000
253,71.0000
254,70.0000
255,72.0000
256,66.0000
257,70.0000
258,71.0000
259,75.0000
260,77.0000
261,68.0000
262,72.0000
